sku,name,category,brand,brand_country,manufacturer_code,alternative_markings,manufacturing_country,price,stock_qty,stock_is_tracked,availability_status,short_description,description,image_url,require_prepayment,cod_allowed,category_require_prepayment,category_cod_allowed,subtype,inner_diameter_mm,outer_diameter_mm,width_mm,rows,cage_type,bearing_seal_type,clearance,precision_class,belt_type,profile,length_mm,belt_width_mm,seal_type,seal_inner_diameter_mm,seal_outer_diameter_mm,seal_width_mm,material,lip_type,lubricant_type,viscosity,base_type,package_size,temperature_range
TB-BRG-01360,61904 RS ZVL,bearings,Kinex,Словаччина,61904 RS ZVL,,,96.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61904 RS ZVL.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01361,61904 ZZ,bearings,,,61904 ZZ,,,239.24,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61904 ZZ.,,,,,,,радіальний кульковий однорядний,,,,1,,ZZ,,,,,,,,,,,,,,,,,
TB-BRG-01362,61905 RS ZVL,bearings,Kinex,Словаччина,61905 RS ZVL,,,120.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61905 RS ZVL.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01363,61906 RS,bearings,,,61906 RS,,,370.44,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61906 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01364,61906 RS FLT,bearings,Kinex,Словаччина,61906 RS FLT,,,132.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61906 RS FLT.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01365,61907 RS,bearings,,,61907 RS,,,443.21,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61907 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01366,61907 RS ZVL,bearings,Kinex,Словаччина,61907 RS ZVL,,,165.6,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61907 RS ZVL.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01367,61908 RS Kinex,bearings,Kinex,Словаччина,61908 RS Kinex,,,216.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61908 RS Kinex.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01368,61909 RS,bearings,,,61909 RS,,,773.96,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61909 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01369,61910,bearings,,,61910,,,312.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61910.,,,,,,,радіальний кульковий однорядний,,,,1,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01370,61910 RS,bearings,,,61910 RS,,,1080.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61910 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01371,61911 RS,bearings,,,61911 RS,,,992.25,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61911 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01372,61911 RS ZVL,bearings,Kinex,Словаччина,61911 RS ZVL,,,420.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61911 RS ZVL.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01373,61912 RS,bearings,,,61912 RS,,,1062.0,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 61912 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,2RS,,,,,,,,,,,,,,,,,
TB-BRG-01374,62/22 NR,bearings,,,62/22 NR,,,273.04,0,false,in_stock,Підшипник. Маркування: 62/22 NR.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01375,62/22 RS,bearings,,,62/22 RS,,,207.9,0,false,in_stock,Підшипник. Маркування: 62/22 RS.,,,,,,,підшипник,,,,,,2RS,,,,,,,,,,,,,,,,,
TB-BRG-01376,62/22 ZNR NTN,bearings,NTN,Японія,62/22 ZNR NTN,,,317.52,0,false,in_stock,Підшипник. Маркування: 62/22 ZNR NTN.,,,,,,,підшипник,,,,,,ZZ,,,,,,,,,,,,,,,,,
TB-BRG-01377,62/28 LLU NR NTN,bearings,NTN,Японія,62/28 LLU NR NTN,,,504.0,0,false,in_stock,Підшипник. Маркування: 62/28 LLU NR NTN.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01378,62/28 RS,bearings,,,62/28 RS,,,390.29,0,false,in_stock,Підшипник. Маркування: 62/28 RS.,,,,,,,підшипник,,,,,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01379,62/32 N,bearings,,,62/32 N,,,455.09,0,false,in_stock,Підшипник. Маркування: 62/32 N.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01380,62/32 RS,bearings,,,62/32 RS,,,621.81,0,false,in_stock,Підшипник. Маркування: 62/32 RS.,,,,,,,підшипник,,,,,,2RS,,,,,,,,,,,,,,,,,
TB-BRG-01381,62/32 URB,bearings,,,62/32 URB,,,262.82,0,false,in_stock,Підшипник. Маркування: 62/32 URB.,,,,,,,підшипник,,,,,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01382,6200 KINEX,bearings,Kinex,Словаччина,6200 KINEX,,,44.12,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 6200 KINEX.,,,,,,,радіальний кульковий однорядний,10,30,9,1,,відкритий,,,,,,,,,,,,,,,,,
TB-BRG-01383,6200 RS,bearings,,,6200 RS,,,92.61,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 6200 RS.,,,,,,,радіальний кульковий однорядний,10,30,9,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01384,6200 RS FLT,bearings,Kinex,Словаччина,6200 RS FLT,,,62.18,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 6200 RS FLT.,,,,,,,радіальний кульковий однорядний,10,30,9,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01385,62000 RS,bearings,,,62000 RS,,,251.37,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 62000 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
TB-BRG-01386,62001 RS,bearings,,,62001 RS,,,396.9,0,false,in_stock,Радіальний кульковий однорядний. Маркування: 62001 RS.,,,,,,,радіальний кульковий однорядний,,,,1,,RS,,,,,,,,,,,,,,,,,
